,title,url
0,ABC Mouse,http://www.abcmouse.com/library_account
1,Academic Search Premier,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=EHOST&defaultdb=aph
2,African American Archive Collection,https://research.cincinnatilibrary.org/login?url=https://www.galepages.com/cinc37305/aaa
3,African American Heritage,http://ohioweblibrary.org/db/africanamericanheritage
4,Ancestry Library Edition,http://ancestrylibrary.proquest.com/
5,Application For Talking Book Machine and Regional Library Services,https://cpl.org/aboutthelibrary/ohio-library-for-the-blind-physically-disabled/apply-for-services/
6,Art Retrospective,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=EHOST&defaultdb=air
7,Biography in Context,https://research.cincinnatilibrary.org/login?url=https://link.gale.com/apps/BIC?u=cinc37305
8,Biography Reference Bank,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=EHOST&defaultdb=brb
9,Business NewsBank,https://research.cincinnatilibrary.org/login?url=http://infoweb.newsbank.com/resources/search/nb?p=AWNB&t=collection%3AABN%21Access%20Business%20News
10,Business Source Premier,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=BSI
11,Career Online High School,https://library.careeronlinehs.org/
12,ChiltonLibrary.com,http://research.cincinnatilibrary.org/login?url=https://link.gale.com/apps/CHLL?u=cinc37305
13,Cincinnati & Hamilton County Public Library: Electronic Journals,http://wy2za4hw5u.search.serialssolutions.com/?L=WY2ZA4HW5U
14,Cincinnati Business Courier,https://research.cincinnatilibrary.org/login?url=http://research.cincinnatilibrary.org/login/bizjournals
15,Cincinnati Inventor’s Database,https://apps.chpl.org/services/invent/
16,Consumer Health Complete,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?profile=chc
